Year,AWI,Increase,Prior Year Avg Amt,Avg Amt,Number of Workers,Aggregate wages
1985,16822.51,0.0426,"$15,250.75 ","15,900.51","114,922","1,827,321"
1986,17321.82,0.0297,"15,900.51","16,372.45","115,135","1,885,046"
1987,18426.51,0.0638,"16,372.45","17,416.59","119,557","2,082,269"
1988,19334.04,0.0493,"17,416.59","18,274.38","122,797","2,244,036"
1989,20099.55,0.0396,"18,274.38","18,997.93","126,909","2,411,003"
1990,21027.98,0.0462,"18,997.93","19,875.47","127,554","2,535,192"
1991,21811.6,0.0373,"20,172.11","20,923.84","126,208","2,640,753"
1992,22935.42,0.0515,"20,923.84","22,001.92","127,106","2,796,569"
1993,23132.67,0.0086,"22,001.92","22,191.14","128,728","2,856,628"
1994,23753.53,0.0268,"22,191.14","22,786.73","130,571","2,975,294"
1995,24705.66,0.0401,"22,786.73","23,700.11","134,212","3,180,838"
1996,25913.9,0.0489,"23,700.11","24,859.17","136,561","3,394,789"
1997,27426,0.0584,"24,859.17","26,309.73","139,349","3,666,228"
1998,28861.44,0.0523,"26,309.73","27,686.75","141,760","3,924,866"
1999,30469.84,0.0557,"27,686.75","29,229.69","145,061","4,240,084"
2000,32154.82,0.0553,"29,229.69","30,846.09","148,114","4,568,731"
2001,32921.92,0.0239,"30,846.09","31,581.97","148,282","4,683,048"
2002,33252.09,0.01,"31,581.97","31,898.70","148,069","4,723,210"
2003,34064.95,0.0244,"31,898.70","32,678.48","147,722","4,827,338"
2004,35648.55,0.0465,"32,678.48","34,197.63","149,439","5,110,451"
2005,36952.94,0.0366,"34,197.63","35,448.93","151,603","5,374,177"
2006,38651.41,0.046,"35,448.93","37,078.27","153,853","5,704,593"
2007,40405.48,0.0454,"37,078.27","38,760.95","155,570","6,030,057"
2008,41334.97,0.023,"38,760.95","39,652.61","155,435","6,163,387"
2009,40711.61,-0.0151,"39,652.61","39,054.62","150,918","5,894,035"
2010,41673.83,0.0236,"39,036.67","39,959.30","150,399","6,009,831"
2011,42979.61,0.0313,"39,959.30","41,211.36","151,381","6,238,607"
2012,44321.67,0.0312,"41,211.36","42,498.21","153,632","6,529,098"
2013,44888.16,0.0128,"42,498.21","43,041.39","155,772","6,704,658"
2014,46481.52,0.0355,"43,041.39","44,569.20","158,187","7,050,259"
2015,48098.63,0.0348,"44,569.20","46,119.78","160,795","7,415,816"
2016,48642.15,0.0113,"46,119.78","46,640.94","163,521","7,626,754"
2017,50321.89,0.0345,"46,640.94","48,251.57","165,438","7,982,655"
2018,52145.8,0.0362,"48,251.57","50,000.44","167,669","8,383,541"
2019,54099.99,0.0375,"50,040.96","51,916.27","169,329","8,790,917"
2020,55628.6,0.0283,"51,916.27","53,383.18","167,594","8,946,699"
2021,60575.07,0.0889,"53,383.18","58,129.99","168,133","9,773,580"
2022,63795.13,0.0532,"58,129.99","61,220.07","172,031","10,531,745"