date,WFH_share,Source_historical_series,fullremote_hist,Source_fullremote_hist,License,Citation
1965-01-01,0.4,AHTUS,,,"Copyright 2023 by Jose Maria Barrero, Nicholas Bloom, and Steven J. Davis. The data in this .xlsx file are made available under the CC-BY 4.0 license https://creativecommons.org/licenses/by/4.0/"," When using this work, please cite: Barrero, Jose Maria, Nicholas Bloom, and Steven J. Davis, 2021. ""Why working from home will stick,"" National Bureau of Economic Research Working Paper 28731.   "
1975-01-01,0.6,AHTUS,,,,
1980-01-01,,,0.6,ACS,,
1985-01-01,4.8,AHTUS,,,,
1990-01-01,,,1,ACS,,
1993-01-01,2.5,AHTUS,,,,
1995-01-01,2.2,AHTUS,,,,
1998-01-01,2.9,AHTUS,,,,
2000-01-01,,,1.7,ACS,,
2001-01-01,,,1.7,ACS,,
2002-01-01,,,1.8,ACS,,
2003-01-01,3,ATUS,1.8,ACS,,
2004-01-01,4.1,ATUS,2.1,ACS,,
2005-01-01,3.4,ATUS,2,ACS,,
2006-01-01,3.5,ATUS,2.3,ACS,,
2007-01-01,4,ATUS,2.5,ACS,,
2008-01-01,4.5,ATUS,2.6,ACS,,
2009-01-01,6.4,ATUS,2.8,ACS,,
2010-01-01,5.4,ATUS,2.8,ACS,,
2011-01-01,4.6,ATUS,3,ACS,,
2012-01-01,5.7,ATUS,3.1,ACS,,
2013-01-01,5.4,ATUS,3.2,ACS,,
2014-01-01,6.4,ATUS,3.3,ACS,,
2015-01-01,6.8,ATUS,3.5,ACS,,
2016-01-01,5.9,ATUS,3.9,ACS,,
2017-01-01,6.9,ATUS,4.1,ACS,,
2018-01-01,5.3,ATUS,4.2,ACS,,
2019-01-01,7.2,ATUS,4.7,ACS,,
2020-05-01,61.5,SWAA,,,,
2020-07-01,51,SWAA,,,,
2020-08-01,48.3,SWAA,,,,
2020-09-01,44.3,SWAA,,,,
2020-10-01,43.3,SWAA,,,,
2020-11-01,38.8,SWAA,,,,
2020-12-01,37,SWAA,,,,
2021-01-01,36.8,SWAA,,,,
2021-02-01,34.1,SWAA,,,,
2021-03-01,34.6,SWAA,,,,
2021-04-01,34.9,SWAA,,,,
2021-05-01,32.8,SWAA,,,,
2021-06-01,32.9,SWAA,,,,
2021-07-01,33.6,SWAA,,,,
2021-08-01,32,SWAA,,,,
2021-09-01,32.4,SWAA,,,,
2021-10-01,32.2,SWAA,,,,
2021-11-01,33.1,SWAA,,,,
2021-12-01,33.2,SWAA,,,,
2022-01-01,32.4,SWAA,,,,
2022-02-01,31.2,SWAA,,,,
2022-03-01,31.1,SWAA,,,,
2022-04-01,29.6,SWAA,,,,
2022-05-01,31.5,SWAA,,,,
2022-06-01,31.6,SWAA,,,,
2022-07-01,30.6,SWAA,,,,
2022-08-01,29.5,SWAA,,,,
2022-09-01,29.1,SWAA,,,,
2022-10-01,29.4,SWAA,,,,
2022-11-01,28.8,SWAA,,,,
2022-12-01,29.3,SWAA,,,,
2023-01-01,27.2,SWAA,,,,
2023-02-01,27.7,SWAA,,,,
2023-03-01,28.7,SWAA,,,,
2023-04-01,28.4,SWAA,,,,
2023-05-01,28.2,SWAA,,,,
2023-06-01,28.1,SWAA,,,,
2023-07-01,30.9,SWAA,,,,